prolific_participant_id,workerid,proliferate.condition,YOB,age,comments,enjoyment,equipment_model,equipment_type,fairprice,gender,impairment,interaction_10,interaction_20,interaction_30,interaction_40,interaction_50,interaction_60,language,language_other,language_parents,error
201,393,condition1,1996,28,듣기가 헷갈렸어요..ㅠㅠ,-1,,laptop_speaker,-1,Female,0,0,50,0,0,40,10,서울말,"영어(중급), 프랑스어(초급)",모두 서울말,
202,472,condition1,1993,3111,"디띠티나 비삐피는 듣다보면 영어 D나 P가 생각나서 그렇게 듣다보면 약간 디와 띠, 비와 삐가 순간순간 헷갈리기도 합니다 
다따타 바빠파 이런식이면 덜 헷갈리지 않을까싶은데 실험의도를 알 수 없어서 그냥 중간에 드는 생각을 적어보았습니다
키보드로 답변할 수 있어서 마우스로 하는 것보다 훨씬 편합니다 ",2,원모어피스톤,earphone,1,Male,0,0,40,50,0,0,10,서울말,중국어(고급) 일본어(초급) 영어(고급,"아버지 서울말기본, 이따금 경주사투리, 어머니 서울말",
203,401,condition1,1990,34,"선택지가 세 개인데 중간에 선택지에 없는 소리(예: 선택지는 '디, 띠, 티' 세 개인데 '삐' 처럼 들리는 경우)처럼 들려서 '소리를 못 들었을 경우 아무 단어나 고른 뒤 박스에 체크하시오'에 체크한 경우가 있었어요. 아무 단어나 고르지는 않고 비슷하게 들리는 소리에 체크했습니다. 제가 잘못 들은 것 같긴 한데 만약 선택지에 있는 소리만 송출되는 거라면 지시사항에 이를 명시해주시면 더 명확할 것 같아요.",1,맥북프로 내장 스피커,laptop_speaker,1,Female,0,0,30,40,0,0,30,서울말,"영어(고급), 일본어(초급)",아버지 어머니 모두 서울말,
206,407,condition1,2000,24,,1,BOSE 브랜드 헤드셋,headphone,1,Female,0,0,50,0,0,50,0,서울말,"영어(중급), 중국어(완전 초급)",서울말,
207,418,condition1,1998,26,,1,,earphone,0,Male,0,0,45,35,10,10,0,"서울말, 충청도 사투리","영어 (고급), 독일어 (고급)","어머니 서울말, 아버지 서울말, 할머니 충청도 사투리",
208,517,condition1,2002,22,,1,,speaker,1,Male,0,20,60,0,0,18,2,서울말,영어(중급),서울말,
211,426,condition1,1999,25,,1,에어팟 프로 2세대,earphone,1,Male,0,0,80,0,0,20,0,서울말,영어(중급),"아버지 서울말, 어머니 부산 사투리",
212,460,condition1,2000,24,,1,,speaker,1,Female,0,10,85,0,0,5,0,서울말,"영어(고급), 스페인어(중급)",모두 서울말,
213,471,condition1,1998,26,"화면을 응시하며 단어를 골랐을 때와 다른 곳을 응시하며 청각에만 집중했을 때 선택 결과가 달라지는 것 같다. (예: 소리에 집중했을 때, 모든 음절이 '끼'(경음) 또는 '키'(격음)으로만 들렸음. 그러나 '기', ;끼', '키'라고 적혀있는 화면을 보면서 변별하려고 노력을 하니 '기'도 살짝 들리는 것 같기도 함.) ",-1,,laptop_speaker,-1,Female,0,0,40,40,0,10,10,서울말,"영어(고급), 아랍어(중급), 프랑스어(초급)","서울말, 할머니 충청도 사투리 약간",
215,495,condition1,2004,20,,1,에어팟 4세대,earphone,0,Female,0,10,80,0,0,10,0,서울말,"영어 (고급), 일본어 (초급)","어머니 서울말, 아버지 서울말",
216,507,condition1,1999,25,,1,,laptop_speaker,1,Male,0,0,70,10,0,20,0,강원도 사투리,영어(중급),"어머니 서울말, 아버지 강원도 사투리",
304,409,condition1,1994,30,,2,,earphone,1,Male,0,0,0,40,40,10,10,전라도사투리,영어 고급,어머니 전라도사투리 아버지 전라도사투리,
305,511,condition1,1994,30,,1,,laptop_speaker,1,Female,0,30,10,30,10,10,10,서울말,영어(중급),"어머니, 아버지 서울말",
307,425,condition1,1991,33,,1,아이리버 유선 이어폰,earphone,0,Female,0,0,10,60,20,0,10,전라도사투리,영어(초급),전라도사투리,
309,423,condition1,1988,36,,1,,laptop_speaker,0,Female,0,10,15,50,15,5,5,"서울말, 전라북도 사투리",영어(중급),어머니 서울말 아버지 전라북도 사투리,
310,453,condition1,1991,33,,2,,speaker,1,Male,0,0,20,65,10,5,0,충청남도 사투리,영어(중급),부모 양친 모두 충청남도 사투리,
311,427,condition1,1994,30,,1,,laptop_speaker,1,Male,0,0,40,40,0,0,20,서울말,"영어(고급), 프랑스어(고급)",부모님 서울말,
