word,romanization,morpheme_freq,syllable_freq
기,ki,21128,52237
공,kong,493,20672
비,pi,2430,14594
김,kim,2917,10983
통,thong,208,10661
동,tong,266,10407
박,pak,3330,8645
반,pan,1114,8468
단,tan,667,7760
간,kan,3296,5921
피,phi,417,4533
판,phan,168,3922
복,pok,33,3420
독,tok,69,3054
각,kak,674,3037
폭,phok,358,2305
디,ti,61,1759
탄,than,29,1550
키,khi,222,1272
딱,ttak,819,984
끼,kki,283,895
꼭,kkok,783,842
티,thi,77,764
봉,pong,51,761
똑,ttok,12,613
곡,kok,167,287
탁,thak,57,187
칸,khan,99,127
띠,tti,112,124
닥,tak,0,114
딴,ttan,90,111
삐,ppi,9,102
꽁,kkong,1,99
톡,thok,16,92
팍,phak,16,56
빡,ppak,10,48
똥,ttong,24,48
깍,kkak,1,16
깐,kkan,2,16
빤,ppan,0,16
뽕,ppong,3,14
콕,khok,9,14
퐁,phong,0,10
칵,khak,0,7
뽁,ppok,0,1
