workerid,prolific_participant_id
458,212
391,304
493,509
623,620
420,313
463,505
547,605
613,409
431,601
479,507
454,314
485,508
544,401
542,605
496,702
390,202
489,701
400,206
563,608
510,703
543,606
464,603
546,605
480,215
413,311
508,703
571,512
539,604
585,615
573,610
621,619
637,623
568,511
577,611
415,312
388,203
419,211
411,310
412,207
428,501
414,208
410,309
620,618
592,405
556,607
387,201
597,407
443,504
465,603
403,308
566,609
632,621
438,502
596,408
468,213
590,404
600,406
583,614
478,506
601,406
488,701
589,403
399,307
394,305
505,216
441,503
439,602
533,510
